menu_desc,is_parent,menu_url,parent_icon,app_folder,order_level,created_date,updated_date,status,slug,created_by_id,parent_menu_id,updated_by_id,folder_size,admin_only
Administration,1,,"<svg id=""i-settings"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 32 32"" width=""25"" height=""25"" fill=""none"" stroke=""currentcolor"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-width=""2"">
    <path d=""M13 2 L13 6 11 7 8 4 4 8 7 11 6 13 2 13 2 19 6 19 7 21 4 24 8 28 11 25 13 26 13 30 19 30 19 26 21 25 24 28 28 24 25 21 26 19 30 19 30 13 26 13 25 11 28 8 24 4 21 7 19 6 19 2 Z"" />
    <circle cx=""16"" cy=""16"" r=""4"" />
</svg>",administration,1,46.30.06,46.30.06,1,k7rzcjsdr1,1,,1,2,0
Menu Master,0,menuMaster,,,1,47.00.08,47.00.08,1,k7rzcjsdr2,1,1,1,2,0
Role Master,0,roleMaster,,,2,47.20.05,47.20.05,1,k7rzcjsdr33,1,1,1,2,0
Process Master,0,processMaster,,,3,47.45.09,53.44.00,1,k7rzcjsdr34,1,1,1,2,0
Organization,0,organisation,,,4,27.23.01,27.23.02,1,isf4eg51v55,1,1,1,2,0
Country Master,0,countryMaster,,,5,31.42.07,31.42.08,1,3aw0o1bblo6,1,1,1,2,0
Business Line,0,businessLine,,,6,32.10.03,32.10.03,1,c8kee8zz9l7,1,1,1,2,0
Department Master,0,departmentMaster,,,7,32.32.06,32.32.06,1,6wycd3pq6f8,1,1,1,2,0
Location Master,0,locationMaster,,,8,32.55.00,32.55.00,1,dja2nhadhc9,1,1,1,2,0
Configuration,0,configuration,,,9,33.30.05,33.30.05,1,ke3aneqf0o10,1,1,1,2,0
Series Master,0,seriesMaster,,,10,34.07.06,34.07.06,1,x4si29rd0i11,1,1,1,2,0
Status Master,0,statusMaster,,,11,34.22.00,34.22.00,1,bmsdecq5jp12,1,1,1,2,0
User Master,0,userMaster,,,12,34.38.09,34.38.09,1,4vbsa3w1y413,1,1,1,2,0
State Master,0,stateMaster,,,13,40.13.04,40.13.05,1,vz4f8c6x7116,1,1,1,2,0
